Район,Адреса,Телефони,Сайт суду,Назва суду,email,Розклад,Тип суду,Місто,Сторінка суду,Область
Першотравневий,"58000, м. Чернівці, вул. Головна, 105",(0372) 52-66-11,http://ptr.cv.court.gov.ua,Першотравневий районний суд м. Чернівців,inbox@ptr.cv.court.gov.ua,Пн-Чт з 08:30 до 17:15 Пт з 08:30 до 16:00 Перерва з 13:00 до 13:30,Районний у місті суд,Чернівці,http://ptr.cv.court.gov.ua/sud2408/,Чернівецька
Садгірський,"58007, м. Чернівці, вул. Хотинська, 3",(0372) 54-99-40,http://sg.cv.court.gov.ua,Садгірський районний суд м. Чернівців,inbox@sg.cv.court.gov.ua,Пн-Чт з 08:30 до 17:00 Пт з 08:30 до 17:00 Перерва з 13:00 до 13:30,Районний у місті суд,Чернівці,http://sg.cv.court.gov.ua/sud2410/,Чернівецька
Шевченківський,"58000, м. Чернівці, вул. Кафедральна, 4",(0372) 55-17-02,http://ln.cv.court.gov.ua,Шевченківський районний суд м. Чернівців,inbox@ln.cv.court.gov.ua,Пн-Чт з 08:30 до 17:00 Пт з 08:30 до 17:00 Перерва з 13:00 до 13:30,Районний у місті суд,Чернівці,http://ln.cv.court.gov.ua/sud2414/,Чернівецька
Артемівський,"91021, м. Луганськ, вул. Тімірязєва, 1-А",(0642) 65-22-74,http://ar.lg.court.gov.ua,Артемівський районний суд м. Луганська,inbox@ar.lg.court.gov.ua,Пн-Чт з 08:30 до 17:30 Пт з 08:30 до 16:15 Перерва з 12:15 до 13:00,Районний у місті суд,Луганськ,http://ar.lg.court.gov.ua/sud1203/,Луганська
Жовтневий,"91005, м. Луганськ, вул. Херсонська, 46",(0642) 58-27-44 58-27-18,http://gt.lg.court.gov.ua,Жовтневий районний суд м. Луганська,inbox@gt.lg.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:48,Районний у місті суд,Луганськ,http://gt.lg.court.gov.ua/sud1207/,Луганська
Кам'янобрідський,"91002, м. Луганськ, вул. К.Лібкнехта, 51",(0642) 93-15-56,http://kb.lg.court.gov.ua,Кам'янобрідський районний суд м. Луганська,inbox@kb.lg.court.gov.ua,Пн-Чт з 08:30 до 17:00 Пт з 08:30 до 17:00 Перерва з 13:00 до 13:30,Районний у місті суд,Луганськ,http://kb.lg.court.gov.ua/sud1208/,Луганська
Ленінський,"91033, м. Луганськ, вул. Новосьолова, 2",(0642) 92-13-10; 92-12-91,http://ln.lg.court.gov.ua,Ленінський районний суд м. Луганськ,inbox@ln.lg.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Луганськ,http://ln.lg.court.gov.ua/sud1213/,Луганська
Галицький,"79018, м. Львів, вул. Чоловського,2",(0-32) 261-38-64,http://gl.lv.court.gov.ua,Галицький районний суд м. Львова,inbox@gl.lv.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Львів,http://gl.lv.court.gov.ua/sud1304/,Львівська
Залізничний,"79013, м. Львів, вул. С.Бандери, 3",(032) 261-38-69 факс (032) 261-38-50,http://zl.lv.court.gov.ua,Залізничний районний суд м. Львова,inbox@zl.lv.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Львів,http://zl.lv.court.gov.ua/sud1309/,Львівська
Личаківський,"79007, м. Львів, вул. Б.Лепкого, 16",тел.-факс (032) 261-28-74,http://lk.lv.court.gov.ua,Личаківський районний суд м. Львова,inbox@lk.lv.court.gov.ua,Пн-Чт з 08:30 до 17:30 Пт з 08:30 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Львів,http://lk.lv.court.gov.ua/sud1312/,Львівська
Сихівський,"79018 м. Львів, вул. Чоловського, 2","(032) 261-38-60, (032) 261-38-62",http://shi.lv.court.gov.ua,Сихівський районний суд м. Львова,inbox@shi.lv.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Львів,http://shi.lv.court.gov.ua/sud1319/,Львівська
Франківський,"79034, м.Львів, вул.Героїв Крут, 1в",(032) 240-81-42,http://fk.lv.court.gov.ua,Франківський районний суд м. Львова,inbox@fk.lv.court.gov.ua,Пн-Чт з 09:00 до 17:45 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Львів,http://fk.lv.court.gov.ua/sud1326/,Львівська
Шевченківський,"79000, м. Львів, вул. Січових Стрільців, 12",(032) 260-32-89,http://sh.lv.court.gov.ua,Шевченківський районний суд м. Львова,inbox@sh.lv.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 16:45 Перерва з 13:00 до 13:45,Районний у місті суд,Львів,http://sh.lv.court.gov.ua/sud1328/,Львівська
Заводський,"54001, м. Миколаїв, вул. Радісна, 3","Канцелярія 47-80-02, Секретарі 53-71-11, Помічники 53-73-11.",http://zv.mk.court.gov.ua,Заводський районний суд м. Миколаєва,inbox@zv.mk.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний у місті суд,Миколаїв,http://zv.mk.court.gov.ua/sud1412/,Миколаївська
Корабельний,"54051, м. Миколаїв, вул. Самойловича, 29 а",(0512) 25-21-00,http://kb.mk.court.gov.ua,Корабельний районний суд м. Миколаєва,inbox@kb.mk.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 12:45,Районний у місті суд,Миколаїв,http://kb.mk.court.gov.ua/sud1414/,Миколаївська
Ленінський,"54018, м. Миколаїв, вул. Космонавтів, 68 а",(0512) 55-95-00,http://ln.mk.court.gov.ua,Ленінський районний суд м. Миколаєва,inbox@ln.mk.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 16:00 Перерва з 12:00 до 13:00,Районний у місті суд,Миколаїв,http://ln.mk.court.gov.ua/sud1416/,Миколаївська
Центральний,"54001, м. Миколаїв, вул. Потьомкінська, 49",(0512) 361069,http://ct.mk.court.gov.ua,Центральний районний суд м. Миколаєва,inbox@ct.mk.court.gov.ua,Пн-Чт з 09:00 до 18:00 Пт з 09:00 до 17:00 Перерва з 13:00 до 14:00,Районний у місті суд,Миколаїв,http://ct.mk.court.gov.ua/sud1423/,Миколаївська
Дніпровський,"73000, м.Херсон , вул. Маяковського, 6/29",(0552) 22-61-36,http://dn.ks.court.gov.ua,Дніпровський районний суд м. Херсона,inbox@dn.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Херсон,http://dn.ks.court.gov.ua/sud2110/,Херсонська
Комсомольський,"73000, м. Херсон , вул. Маяковського 6/29",Канцелярія: (0552) 26-47-82,http://km.ks.court.gov.ua,Комсомольський районний суд м. Херсона,inbox@km.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 13:00,Районний у місті суд,Херсон,http://km.ks.court.gov.ua/sud2114/,Херсонська
Суворовський,"73000, м. Херсон , вул. Маяковського, 6/29","(0552) 22-26-53, (0552) 49-80-32",http://sv.ks.court.gov.ua,Суворовський районний суд м. Херсона,inbox@sv.ks.court.gov.ua,Пн-Чт з 08:00 до 17:00 Пт з 08:00 до 15:45 Перерва з 12:00 до 12:45,Районний у місті суд,Херсон,http://sv.ks.court.gov.ua/sud2120/,Херсонська
